FILE_PATH,ATTR,CMD,COMMENT,ENS,FILE,FILE_MODE,HARD_CODE,INCL,SLOC,REQ,SSH,URL,ICP_STATUS
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/initramfs.pp,2,0,0,0,0,0,3,0,6,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/instance_upstarts.pp,4,0,0,0,1,1,4,0,10,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/kernel.pp,10,0,10,2,1,1,9,0,103,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/mysterious_sysctl.pp,1,0,6,0,0,0,7,0,30,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/puppet.pp,74,2,0,10,10,10,61,5,172,2,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/puppet/common.pp,4,0,0,1,1,1,3,0,10,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/puppet/config.pp,7,0,2,1,1,1,5,0,24,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/puppet/params.pp,0,0,0,0,0,0,2,0,12,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/puppet/puppet4.pp,6,0,4,0,0,0,5,0,33,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/remote_syslog.pp,11,0,18,2,1,1,9,0,65,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/resolving.pp,18,0,0,1,5,4,19,0,48,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/screenconfig.pp,5,0,0,1,1,1,4,0,9,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/puppet-2018-06/modules/base/manifests/service_unit.pp,28,1,66,7,3,2,17,0,180,0,0,0,NEUTRAL
